"Year","Site","Longitude","Latitude","pollutant","mean.obs.value"
2005,"11030011",-86.9769,34.5187,"OC",2.1701744185814
2005,"11030011",-86.9769,34.5187,"PM25",13.7316239316239
2005,"11030011",-86.9769,34.5187,"SO4",5.05590909090909
2005,"11090003",-85.9792,31.7906,"PM10",22.5
2005,"11130001",-84.9992,32.4764,"PM25",15.896694214876
2005,"11130002",-85.0838,32.468,"O3",0.0459836734693878
2005,"11170004",-86.8251,33.3173,"O3",0.0501958333333333
2005,"11170006",-86.8211,33.3129,"PM25",14.8932773109244
2005,"11190002",-88.2019,32.364,"O3",0.0396932773109244
2005,"11190002",-88.2019,32.364,"PM25",12.1336448598131
2005,"11210002",-86.3494,33.2794,"PM25",14.1974576271186
2005,"11210002",-86.3494,33.2797,"PM10",21.2641509433962
2005,"11210003",-86.1227,33.4983,"O3",0.0380788381742739
2005,"11211002",-86.1006,33.4367,"PM10",24.5636363636364
2005,"11250004",-87.4842,33.1893,"PM25",13.872268907563
2005,"11250010",-87.4597,33.0896,"O3",0.0468080357142857
2005,"11270002",-87.2725,33.8328,"PM25",14.2060344827586
2005,"120010023",-82.3914,29.7033,"PM25",9.37583333333333
2005,"120010023",-82.3878,29.7061,"PM10",17.7231270358306
2005,"120010024",-82.4083,29.6583,"PM25",9.64545454545454
2005,"120010025",-82.491,29.684,"O3",0.0405185185185185
2005,"120013011",-82.2961,29.5447,"O3",0.0426
2005,"120030002",-82.4411,30.2011,"O3",0.0385041095890411
2005,"120050006",-85.7315,30.1304,"O3",0.0456869565217391
2005,"120051004",-85.6144,30.1442,"PM10",20.2968299711816
2005,"120051004",-85.6144,30.1442,"PM25",11.375
2005,"120090004",-80.7947,28.5111,"PM10",15.2931034482759
2005,"120090007",-80.6286,28.0536,"O3",0.037606936416185
2005,"120090007",-80.6286,28.0539,"PM25",8.29426229508197
2005,"120094001",-80.6156,28.3106,"O3",0.0417727272727273
2005,"120110010",-80.1672,26.1286,"CO",1.24480712166172
2005,"120110010",-80.1672,26.1286,"PM10",17.8909090909091
2005,"120110010",-80.1672,26.1286,"SO2",5.81424148606811
2005,"120110011",-80.1458,26.0983,"PM10",16.7037037037037
2005,"120110031",-80.295,26.272,"NO2",17.7186440677966
2005,"120110031",-80.295,26.272,"O3",0.0319488636363636
2005,"120111002",-80.2378,26.0828,"PM25",8.35874587458746
2005,"120111002",-80.2376,26.0831,"PM10",14.6428571428571
2005,"120111201",-80.2478,25.9822,"CO",1.03505747126437
2005,"120112003",-80.0965,26.292,"O3",0.0312332361516035
2005,"120112004",-80.1278,26.2172,"CO",1.13362068965517
2005,"120112004",-80.1278,26.2172,"PM10",17.7023121387283
2005,"120112004",-80.1278,26.2172,"PM25",8.1828025477707
2005,"120113002",-80.1606,26.0008,"CO",0.923032069970846
2005,"120113002",-80.1606,26.0008,"PM10",18.2609970674487
2005,"120113002",-80.1606,26.0008,"PM25",8.20733944954129
2005,"120115005",-80.1764,26.2942,"PM10",15.6607142857143
2005,"120118002",-80.111,26.087,"NO2",20.5382352941176
2005,"120118002",-80.111,26.087,"O3",0.0337920227920228
